Time,Prey1_Population,Prey2_Population,Prey3_Population,Predator_Population,Total_Prey_Population
0,100,60,80,20,240
1,102,62,82,21,246
2,118,64,88,20,270
3,143,76,94,18,313
4,165,85,102,18,352
5,185,92,113,19,390
6,209,100,138,17,447
7,239,103,157,21,499
8,268,111,179,20,558
9,316,118,198,22,632
10,356,123,228,19,707
11,411,139,249,20,799
12,470,157,272,21,899
13,539,176,299,20,1014
14,614,196,335,21,1145
15,725,214,365,21,1304
16,824,236,403,20,1463
17,903,262,431,21,1596
18,1062,292,474,16,1828
19,1217,312,522,17,2051
20,1386,347,572,20,2305
21,1603,388,623,17,2614
22,1819,421,700,17,2940
23,2088,452,760,15,3300
24,2381,490,846,16,3717
25,2775,526,952,15,4253
26,3190,578,1063,15,4831
27,3658,635,1187,14,5480
28,4218,683,1305,14,6206
29,4831,752,1465,15,7048
30,5519,807,1654,12,7980
31,6375,885,1810,11,9070
32,7216,953,2000,10,10169
33,8264,1060,2196,10,11520
34,9523,1148,2434,11,13105
35,10958,1270,2732,11,14960
36,12548,1380,3050,10,16978
37,14313,1479,3422,9,19214
38,16356,1634,3809,8,21799
39,18708,1806,4242,9,24756
40,21396,1964,4722,9,28082
41,24557,2153,5242,9,31952
42,28034,2320,5808,10,36162
43,32209,2513,6432,8,41154
44,36775,2766,7121,7,46662
45,42292,3018,7895,6,53205
46,48611,3288,8789,6,60688
47,55689,3607,9748,7,69044
48,63665,3882,10853,7,78400
49,72886,4253,11919,7,89058
50,83717,4693,13261,8,101671
51,95770,5098,14684,7,115552
52,109821,5570,16245,8,131636
53,125970,6071,18096,9,150137
54,144148,6611,20016,10,170775
55,165180,7274,22137,11,194591
56,189478,7956,24597,10,222031
57,217015,8705,27248,7,252968
58,249004,9449,30119,6,288572
59,285377,10386,33393,7,329156
60,327010,11210,37157,6,375377
61,374631,12182,41139,6,427952
62,429177,13313,45589,7,488079
63,491908,14596,50594,8,557098
64,564271,15897,55951,9,636119
65,646555,17344,61996,9,725895
66,740391,18915,68738,7,828044
67,848912,20676,76119,6,945707
68,973135,22480,84504,8,1080119
69,1115218,24608,93531,7,1233357
70,1277074,26911,103835,4,1407820
71,1462955,29369,115223,5,1607547
72,1676107,32051,127619,3,1835777
73,1921321,34882,141411,2,2097614
74,2199968,38084,156979,2,2395031
75,2521136,41490,174023,2,2736649
76,2888785,45440,192731,2,3126956
77,3310371,49720,213805,2,3573896
78,3793929,54142,237197,2,4085268
79,4347007,58932,263288,2,4669227
80,4981224,64250,292155,2,5337629
81,5706840,70097,323669,2,6100606
82,6539342,76578,359464,2,6975384
83,7492477,83516,398499,2,7974492
84,8586387,91096,442022,2,9119505
85,9838016,99417,490143,2,10427576
86,11274414,108589,543786,3,11926789
87,12917692,118554,603474,1,13639720
88,14802535,129139,668465,1,15600139
89,16958376,141143,741272,1,17840791
90,19432780,154050,822339,0,20409169
